Compound_Name,MOL_WEIGHT,IC50,Target Name,SMILES
BDBM50372795,520.036,0.253,RAC-alpha serine/threonine-protein kinase,N#Cc1cc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)nc1Cl
BDBM50373458,522.656,0.369,RAC-alpha serine/threonine-protein kinase,c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc(-c5ccncc5)[nH]n4)CC3)cc2)cc1
BDBM50373461,523.644,0.03,RAC-alpha serine/threonine-protein kinase,c1ccc(-c2cc3ncccc3nc2-c2ccc(CN3CCC(c4n[nH]c(-c5ccccn5)n4)CC3)cc2)cc1
BDBM50373462,523.644,0.021,RAC-alpha serine/threonine-protein kinase,c1ccc(-c2cc3cnccc3nc2-c2ccc(CN3CCC(c4n[nH]c(-c5ccccn5)n4)CC3)cc2)cc1
BDBM50373463,523.644,0.031,RAC-alpha serine/threonine-protein kinase,c1ccc(-c2cc3ccncc3nc2-c2ccc(CN3CCC(c4n[nH]c(-c5ccccn5)n4)CC3)cc2)cc1
BDBM50373464,523.644,0.045,RAC-alpha serine/threonine-protein kinase,c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4n[nH]c(-c5ccccn5)n4)CC3)cc2)cc1
BDBM50373465,538.655,0.034,RAC-alpha serine/threonine-protein kinase,O=c1ccc(-c2cc(C3CCN(Cc4ccc(-c5nc6ncccc6cc5-c5ccccc5)cc4)CC3)n[nH]2)c[nH]1
BDBM50373466,522.656,0.044,RAC-alpha serine/threonine-protein kinase,c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc(-c5ccccn5)[nH]n4)CC3)cc2)cc1
BDBM50373467,522.656,0.075,RAC-alpha serine/threonine-protein kinase,c1ccc(-c2nc3ccccc3nc2-c2ccc(CN3CCC(c4cc(-c5ccncc5)[nH]n4)CC3)cc2)cc1
BDBM50373468,522.656,0.25,RAC-alpha serine/threonine-protein kinase,c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc(-c5cccnc5)[nH]n4)CC3)cc2)cc1
BDBM50373469,521.668,0.47,RAC-alpha serine/threonine-protein kinase,c1ccc(-c2cc(C3CCN(Cc4ccc(-c5nc6ncccc6cc5-c5ccccc5)cc4)CC3)n[nH]2)cc1
BDBM50375661,261.31,0.01288,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)Nc1sc(-c2ccccc2)cc1C(N)=O
BDBM50377129,451.58,0.6,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=S(=O)(c1ccc(-c2ccnc(Nc3ccc4ncsc4c3)n2)cc1)N1CCCCC1
BDBM50377130,437.55,0.54,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=S(=O)(c1ccc(-c2ccnc(Nc3ccc4ncsc4c3)n2)cc1)N1CCCC1
BDBM50377131,411.51,0.41,Inhibitor of nuclear factor kappa-B kinase subunit beta,CN(C)S(=O)(=O)c1ccc(-c2ccnc(Nc3ccc4ncsc4c3)n2)cc1
BDBM50377132,453.55,0.38,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=S(=O)(c1ccc(-c2ccnc(Nc3ccc4ncsc4c3)n2)cc1)N1CCOCC1
BDBM50377133,469.62,0.25,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=S(=O)(c1ccc(-c2ccnc(Nc3ccc4ncsc4c3)n2)cc1)N1CCSCC1
BDBM50377137,494,0.99,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=S(=O)(Nc1ccc(-c2ccnc(Nc3ccc4ncsc4c3)n2)cc1)c1ccc(Cl)cc1
BDBM50377140,390.47,0.27,Inhibitor of nuclear factor kappa-B kinase subunit beta,NCCC(=O)Nc1ccc(-c2ccnc(Nc3ccc4ncsc4c3)n2)cc1
BDBM50377146,370.44,0.7,Inhibitor of nuclear factor kappa-B kinase subunit beta,c1cn(-c2ccc(-c3ccnc(Nc4ccc5ncsc5c4)n3)cc2)cn1
BDBM50377147,444.54,0.44,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=S(=O)(c1ccccc1)c1ccc(-c2ccnc(Nc3ccc4ncsc4c3)n2)cc1
BDBM50377148,402.53,0.40738,Inhibitor of nuclear factor kappa-B kinase subunit beta,CN1CCN(c2ccc(-c3ccnc(Nc4ccc5ncsc5c4)n3)cc2)CC1
BDBM50377149,452.57,0.064,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=S(=O)(c1ccc(-c2ccnc(Nc3ccc4ncsc4c3)n2)cc1)N1CCNCC1
BDBM50379530,442.999,0.371,RAC-alpha serine/threonine-protein kinase,CCc1n[nH]c2ncnc(N3CCN(c4cc(Cl)cc(NCCN(C)C)c4C)CC3)c12
BDBM50379531,493.841,0.053,RAC-alpha serine/threonine-protein kinase,Cc1c(NCCN(C)C)cc(Cl)cc1N1CCN(c2ncnc3[nH]nc(Br)c23)CC1
BDBM50379532,482.942,0.074,RAC-alpha serine/threonine-protein kinase,Cc1c(NCCN(C)C)cc(Cl)cc1N1CCN(c2ncnc3[nH]nc(C(F)(F)F)c23)CC1
BDBM50380313,425.489,0.0038,RAC-alpha serine/threonine-protein kinase,COc1ccc(-c2cc3c(C)nc(N)nc3n(C3CCC(OCCO)CC3)c2=O)cn1
BDBM50380929,541.498,0.005,RAC-alpha serine/threonine-protein kinase,CCC(=O)c1cc(NCCN2CCCC2)c(C)c(N2CCN(c3ncnc4[nH]nc(Br)c34)CC2)c1
BDBM50380934,529.487,0.056,RAC-alpha serine/threonine-protein kinase,CCOc1cc(NCCN2CCCC2)c(C)c(N2CCN(c3ncnc4[nH]nc(Br)c34)CC2)c1
BDBM50384849,351.453,0.465,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3ncc4cccnc4c3-c3ccccc3)cc2)CCC1
BDBM50384850,351.453,0.193,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3ncc4ccncc4c3-c3ccccc3)cc2)CCC1
BDBM50384851,351.453,0.117,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3ncc4cnccc4c3-c3ccccc3)cc2)CCC1
BDBM50384852,351.453,0.188,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3ncc4ncccc4c3-c3ccccc3)cc2)CCC1
BDBM50384853,350.465,0.301,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3ncc4ccccc4c3-c3ccccc3)cc2)CCC1
BDBM50384856,339.442,0.787,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3ncc4cccn4c3-c3ccccc3)cc2)CCC1
BDBM50384858,382.467,0.348,RAC-alpha serine/threonine-protein kinase,NC(=O)c1ccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc2c1
BDBM50384859,339.442,0.387,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3nc4ccccn4c3-c3ccccc3)cc2)CCC1
BDBM50384860,339.442,0.199,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3nn4ccccc4c3-c3ccccc3)cc2)CCC1
BDBM50384861,340.43,0.528,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3nn4ccnc4cc3-c3ccccc3)cc2)CCC1
BDBM50384862,339.442,0.926,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3nn4cccc4cc3-c3ccccc3)cc2)CCC1
BDBM50384863,350.465,0.243,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3nc4ccccc4cc3-c3ccccc3)cc2)CCC1
BDBM50389548,530.573,0.81,RAC-alpha serine/threonine-protein kinase,COc1cc(C=C(C(=O)/C=C/c2cccc(OC)c2OC)C(=O)/C=C/c2cccc(OC)c2OC)ccc1O
BDBM50395520,357.44,0.19953,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=S(=O)(NCCO)c1ccc(-c2ccnc3[nH]c(C4CC4)cc23)cc1
BDBM50395521,399.39,0.01995,Inhibitor of nuclear factor kappa-B kinase subunit beta,C[C@@H](CO)NS(=O)(=O)c1ccc(-c2ccnc3[nH]c(C(F)(F)F)cc23)cc1
BDBM50395523,359.45,0.01,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cc1cc2c(-c3ccc(S(=O)(=O)NCC(C)(C)O)cc3)ccnc2[nH]1
BDBM50395524,385.49,0.00631,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(C)(O)CNS(=O)(=O)c1ccc(-c2ccnc3[nH]c(C4CC4)cc23)cc1
BDBM50395528,331.4,0.01995,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cc1cc2c(-c3ccc(S(=O)(=O)NCCO)cc3)ccnc2[nH]1
BDBM50395531,420.52,0.01259,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cc1cc2c(-c3ccc(S(=O)(=O)NC4CCS(=O)(=O)CC4)nc3)ccnc2[nH]1
BDBM50395532,486.58,0.01585,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=S1(=O)CCC(NS(=O)(=O)c2ccc(-c3ccnc4[nH]c(Cn5ccnn5)cc34)cc2)CC1
BDBM50395533,488.64,0.01585,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=S1(=O)CCC(NS(=O)(=O)c2ccc(-c3ccnc4[nH]c(C5CCNCC5)cc34)cc2)CC1
BDBM50395534,462.6,0.01995,Inhibitor of nuclear factor kappa-B kinase subunit beta,CN(C)Cc1cc2c(-c3ccc(S(=O)(=O)NC4CCS(=O)(=O)CC4)cc3)ccnc2[nH]1
BDBM50395535,461.61,0.007943,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(C)(C)c1cc2c(-c3ccc(S(=O)(=O)NC4CCS(=O)(=O)CC4)cc3)ccnc2[nH]1
BDBM50397781,316.368,0.93,RAC-alpha serine/threonine-protein kinase,NCc1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1
BDBM50397783,515.552,0.054,RAC-alpha serine/threonine-protein kinase,Nc1ncccc1-c1nc2cc(-c3cccnc3)cnc2n1-c1ccc(CNC(=O)c2cccc(F)c2)cc1
BDBM50397784,358.405,0.81,RAC-alpha serine/threonine-protein kinase,CC(=O)NCc1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1
BDBM50397786,302.341,0.74,RAC-alpha serine/threonine-protein kinase,Nc1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1
BDBM50397788,420.476,0.028,RAC-alpha serine/threonine-protein kinase,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CC(=O)Nc2ccccc2)cc1
BDBM50397789,515.552,0.047,RAC-alpha serine/threonine-protein kinase,Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CNC(=O)c2cccc(F)c2)cc1
BDBM50397790,420.476,0.023,RAC-alpha serine/threonine-protein kinase,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1
BDBM50397791,434.503,0.66,RAC-alpha serine/threonine-protein kinase,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNC(=O)Cc2ccccc2)cc1
BDBM50397793,496.574,0.41,RAC-alpha serine/threonine-protein kinase,Nc1ncccc1-c1nc2ccc(-c3ccccc3)nc2n1-c1ccc(CNC(=O)c2ccccc2)cc1
BDBM50397795,406.493,0.26,RAC-alpha serine/threonine-protein kinase,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNCc2ccccc2)cc1
BDBM50397797,426.524,0.25,RAC-alpha serine/threonine-protein kinase,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNC(=O)C2CCCCC2)cc1
BDBM50397800,406.449,0.014,RAC-alpha serine/threonine-protein kinase,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(NC(=O)c2ccccc2)cc1
BDBM50398354,461.969,0.012,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNCCF)c4ccc(Cl)cc4)CC3)c21
BDBM50398355,470.017,0.179,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNCC4CC4)c4ccc(Cl)cc4)CC3)c21
BDBM50398357,518.033,0.139,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC4CCOCC4)c4ccc(Cl)c(F)c4)CC3)c21
BDBM50398358,521.559,0.065,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNCC4CC4)c4ccc(C(F)(F)F)c(F)c4)CC3)c21
BDBM50398359,539.574,0.006,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC(C)(C)CO)c4ccc(C(F)(F)F)c(F)c4)CC3)c21
BDBM50398360,523.575,0.003,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC(C)(C)C)c4ccc(C(F)(F)F)c(F)c4)CC3)c21
BDBM50398361,475.996,0.234,RAC-alpha serine/threonine-protein kinase,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)c(F)c1
BDBM50398362,449.477,0.012,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CN)c4ccc(C(F)(F)F)cc4)CC3)c21
BDBM50398363,471.989,0.012,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@@H](c4ccc(Cl)cc4)[C@@H]4COCCN4)CC3)c21
BDBM50398364,470.017,0.53,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@@H](c4ccc(Cl)cc4)[C@@H]4CCCCN4)CC3)c21
BDBM50398365,514.07,0.003,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNCC4CCOCC4)c4ccc(Cl)cc4)CC3)c21
BDBM50398366,528.097,0.005,RAC-alpha serine/threonine-protein kinase,CO[C@H]1CC[C@H](NC[C@@H](C(=O)N2CCN(c3ncnc4c3[C@H](C)C[C@H]4O)CC2)c2ccc(Cl)cc2)CC1
BDBM50398367,500.043,0.005,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC4CCOCC4)c4ccc(Cl)cc4)CC3)c21
BDBM50398368,455.99,0.003,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@@H](c4ccc(Cl)cc4)[C@@H]4CCCN4)CC3)c21
BDBM50398369,472.033,0.018,RAC-alpha serine/threonine-protein kinase,CC(C)N(C)C[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1
BDBM50398370,498.071,0.367,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC4CCCCC4)c4ccc(Cl)cc4)CC3)c21
BDBM50398371,502.034,0.196,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CN4CCC(F)CC4)c4ccc(Cl)cc4)CC3)c21
BDBM50398372,488.032,0.002,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNC(C)(C)CO)c4ccc(Cl)cc4)CC3)c21
BDBM50398373,474.005,0.384,RAC-alpha serine/threonine-protein kinase,COCCNC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1
BDBM50398374,497.949,0.902,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNCC(F)(F)F)c4ccc(Cl)cc4)CC3)c21
BDBM50398376,459.997,0.901,RAC-alpha serine/threonine-protein kinase,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@@H]3F)CC1)c1ccc(Cl)cc1
BDBM50398377,459.997,0.004,RAC-alpha serine/threonine-protein kinase,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3F)CC1)c1ccc(Cl)cc1
BDBM50398378,458.006,0.068,RAC-alpha serine/threonine-protein kinase,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@@H]3O)CC1)c1ccc(Cl)cc1
BDBM50398380,458.006,0.846,RAC-alpha serine/threonine-protein kinase,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](CO)CC3)CC1)c1ccc(Cl)cc1
BDBM50398381,459.997,0.123,RAC-alpha serine/threonine-protein kinase,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](CF)CC3)CC1)c1ccc(Cl)cc1
BDBM50398382,454.018,0.176,RAC-alpha serine/threonine-protein kinase,C=C[C@@H]1CCc2ncnc(N3CCN(C(=O)[C@H](CNC(C)C)c4ccc(Cl)cc4)CC3)c21
BDBM50398384,442.007,0.006,RAC-alpha serine/threonine-protein kinase,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)CC3)CC1)c1ccc(Cl)cc1
BDBM50405629,506.548,0.0038,RAC-alpha serine/threonine-protein kinase,COc1ccc(C(=O)NNC(=O)c2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)cc1
BDBM50405631,532.874,0.0034,RAC-alpha serine/threonine-protein kinase,CN1CCN(C(C(=O)N2CCN(c3ncnc4[nH]cc(Br)c34)CC2)c2ccc(Cl)cc2)CC1
BDBM50413871,316.39,0.03981,Inhibitor of nuclear factor kappa-B kinase subunit beta,NCCNS(=O)(=O)c1ccc(-c2ccnc3[nH]ccc23)cc1
BDBM50413873,237.26,0.63096,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1ccc(-c2ccnc3[nH]ccc23)cc1
BDBM50413875,330.41,0.03162,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNCCNS(=O)(=O)c1ccc(-c2ccnc3[nH]ccc23)cc1
BDBM50413876,344.44,0.19953,Inhibitor of nuclear factor kappa-B kinase subunit beta,CN(C)CCNS(=O)(=O)c1ccc(-c2ccnc3[nH]ccc23)cc1
BDBM50413878,287.34,0.15849,Inhibitor of nuclear factor kappa-B kinase subunit beta,CS(=O)(=O)Nc1ccc(-c2ccnc3[nH]ccc23)cc1
BDBM50413880,405.5,0.07943,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=S1(=O)CCC(NS(=O)(=O)c2ccc(-c3ccnc4[nH]ccc34)cc2)CC1
BDBM50413881,373.44,0.01995,Inhibitor of nuclear factor kappa-B kinase subunit beta,NCCNS(=O)(=O)c1ccc(-c2ccnc3[nH]c(CC(N)=O)cc23)cc1
BDBM50413883,330.41,0.01585,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cc1cc2c(-c3ccc(NS(=O)(=O)CCN)cc3)ccnc2[nH]1
BDBM50413884,433.56,0.03981,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cc1cc2c(-c3ccc(S(=O)(=O)N(C)C4CCS(=O)(=O)CC4)cc3)ccnc2[nH]1
BDBM50413886,315.4,0.31623,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cc1cc2c(-c3ccc(N(C)S(C)(=O)=O)cc3)ccnc2[nH]1
BDBM50418164,319.41,0.50119,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1cc(-c2ccccc2)cc2c(C3CCNCC3)c[nH]c12
BDBM50418167,411.53,0.02512,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCS(=O)(=O)N1CCC(c2c[nH]c3c(C(N)=O)cc(-c4ccccc4)cc23)CC1
BDBM50418168,494.02,0.39811,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1cc(-c2ccccc2)cc2c(C3CCN(S(=O)(=O)c4ccc(Cl)cc4)CC3)c[nH]c12
BDBM50418169,289.36,0.007943,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCc1ccc(-c2cc(C(N)=O)c(NC(N)=O)s2)cc1
BDBM50418176,270.72,0.79433,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1cc(-c2cccc(Cl)c2)cc2cc[nH]c12
BDBM50418177,270.72,0.31623,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1cc(-c2ccc(Cl)cc2)cc2cc[nH]c12
BDBM50427331,482.032,0.004,RAC-alpha serine/threonine-protein kinase,NC1(C(=O)N[C@@H](CCN2CCCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
BDBM50427332,510.086,0.005,RAC-alpha serine/threonine-protein kinase,NC1(C(=O)NC(CCCN2CCCCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
BDBM50427333,512.058,0.005,RAC-alpha serine/threonine-protein kinase,NC1(C(=O)NC(CCCN2CCOCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
BDBM50427334,496.059,0.004,RAC-alpha serine/threonine-protein kinase,NC1(C(=O)NC(CCCN2CCCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
BDBM50427335,470.021,0.003,RAC-alpha serine/threonine-protein kinase,CN(C)CCCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1
BDBM50427336,455.994,0.002,RAC-alpha serine/threonine-protein kinase,CN(C)CCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1
BDBM50427338,442.545,0.183,RAC-alpha serine/threonine-protein kinase,CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(S(C)(=O)=O)cc1
BDBM50427341,382.443,0.009,RAC-alpha serine/threonine-protein kinase,CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(F)cc1
BDBM50427342,364.453,0.149,RAC-alpha serine/threonine-protein kinase,CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccccc1
BDBM50427343,474.996,0.031,RAC-alpha serine/threonine-protein kinase,NC1(C(=O)NC(Cc2ccccc2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
BDBM50427344,460.969,0.041,RAC-alpha serine/threonine-protein kinase,NC1(C(=O)NC(c2ccccc2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
BDBM50427345,424.936,0.005,RAC-alpha serine/threonine-protein kinase,NC1(C(=O)NC(c2ccc(Cl)cc2)C2CC2)CCN(c2ncnc3[nH]ccc23)CC1
BDBM50427346,412.925,0.007,RAC-alpha serine/threonine-protein kinase,CCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1
BDBM50427347,398.898,0.004,RAC-alpha serine/threonine-protein kinase,C[C@H](NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1
BDBM50427348,398.898,0.276,RAC-alpha serine/threonine-protein kinase,C[C@@H](NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1
BDBM50427350,442.951,0.01,RAC-alpha serine/threonine-protein kinase,COCCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1
BDBM50427351,442.951,0.006,RAC-alpha serine/threonine-protein kinase,NC1(C(=O)NC(CCCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
BDBM50427352,414.897,0.007,RAC-alpha serine/threonine-protein kinase,NC1(C(=O)NC(CO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
BDBM50427353,506.032,0.007,RAC-alpha serine/threonine-protein kinase,CS(=O)(=O)NCCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1
BDBM50427354,492.005,0.016,RAC-alpha serine/threonine-protein kinase,CS(=O)(=O)NCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1
BDBM50427355,492.005,0.006,RAC-alpha serine/threonine-protein kinase,NC1(C(=O)NC(CCS(N)(=O)=O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
BDBM50427356,477.978,0.012,RAC-alpha serine/threonine-protein kinase,NC1(C(=O)NC(CS(N)(=O)=O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
BDBM50427357,455.95,0.031,RAC-alpha serine/threonine-protein kinase,CC(=O)NCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1
BDBM50427358,469.977,0.042,RAC-alpha serine/threonine-protein kinase,CN(C)C(=O)CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1
BDBM50427359,427.896,0.03,RAC-alpha serine/threonine-protein kinase,NC(=O)C(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1
BDBM50427360,496.059,0.004,RAC-alpha serine/threonine-protein kinase,NC1(C(=O)N[C@@H](CCN2CCCCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
BDBM50427361,455.994,0.003,RAC-alpha serine/threonine-protein kinase,CN(C)CC[C@H](NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1
BDBM50431812,332.319,0.011,RAC-alpha serine/threonine-protein kinase,O=C1Nc2ccccc2/C1=C/c1c[nH]nc1-c1ccccc1[N+](=O)[O-]
BDBM50432980,295.75,0.03981,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)Nc1cc(-c2cccc(Cl)c2)sc1C(N)=O
BDBM50432981,392.53,0.03981,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cc1cnc2c(NCCN3CCNCC3)nc3cc(-c4ccccc4)sc3n12
BDBM50432990,363.46,0.008511,Inhibitor of nuclear factor kappa-B kinase subunit beta,C#Cc1c(C2CCNCC2)cc(-c2c(O)cccc2OCC2CC2)nc1N
BDBM50432991,313.39,0.44668,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cc1cnc2c(NCCN)nc3cc(-c4ncc[nH]4)sc3n12
BDBM50432992,341.47,0.02818,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(-c3ccc(SC)cc3)nc2c2c1ncn2C
BDBM50432993,301.4,0.22909,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2cc(-c3nccs3)sc2c2c1ncn2C
BDBM50432994,434.55,0.01514,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(-c3ccc(C(=O)NCc4cccs4)cc3)nc2c2c1ncn2C
BDBM50432995,366.45,0.01514,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCNC(=O)c1ccc(-c2nc3c(nc(NC)c4ncn(C)c43)s2)cc1
BDBM50432997,477.55,0.0257,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(=O)c1cc2cc(Nc3nccc(-c4ccc(S(=O)(=O)N5CCNCC5)cc4)n3)ccc2o1
BDBM50432998,376.49,0.03311,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(-c3ccc(N4CC=CCC4)cc3)nc2c2c1ncn2C
